02:45:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:46:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:47:00.018 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:48:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:49:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:50:00.007 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:51:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:52:00.004 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:53:00.013 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:54:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:55:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:56:00.007 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:57:00.001 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:58:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
02:59:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:00:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:01:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:02:00.010 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:03:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:04:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:05:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:06:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:07:00.012 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:08:00.000 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
03:09:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
